-0.08079,10
-0.13378,10
-0.00862,10
-0.04602,10
-0.01998,10
-0.0212,10
-0.00895,10
-0.02897,10
-0.02008,10
0.00202,10
-0.01943,10
-0.01903,10
-0.00645,10
-0.00235,10
0.05695,0
0.10163,0
0.13792,0
-0.16741,110
0.09675,110
0.12613,110
0.19621,110
0.11198,110
0.12281,110
0.12198,110
0.11859,110
-0.08413,110
0.07572,110
0.0881,110
0.09133,110
0.17411,110
0.22738,110
0.16986,110
0.19638,110
0.08839,110
0.17157,110
0.16655,110
0.18993,110
0.06115,110
0.12599,110
0.19396,110
0.14168,110
0.0774,110
0.16222,110
0.14302,110
0.20389,110
0.14527,110
0.08859,110
0.13977,110
0.17785,110
0.02958,110
-0.00088,110
0.10586,110
0.09249,110
0.04947,110
0.15746,110
0.08521,110
-0.01344,110
0.18974,110
0.19554,110
0.18589,110
0.20867,110
0.02813,110
0.02775,110
-0.07904,110
0.14697,110
0.05406,110
0.00073,110
-0.00633,110
0.0951,110
-0.05711,110
0.07355,112
0.05525,112
0.0574,123
